MASV,INDEX_F_MAMH,list_score,list_similarity,prediction,F_MAMH,F_MAKH,TKET
22922292,25.0,"9.0,7.5,10.0,7.0,8.0,8.0","0.6973643375529204,0.6748831630470902,0.6720578275298206,0.6691285032693622,0.65715380337877,0.65715380337877",8.256945467754075,CO3001,MT,7.0
22922292,73.0,"6.5,9.0,6.5,8.0,7.5","0.7820304024258732,0.7534210837031283,0.6862317536005111,0.6712463787023571,0.6655658251157948",7.499295392909647,CO2015,MT,5.0
22941398,16.0,"5.5,5.5,7.5,7.5,7.0","0.7428349572370649,0.7333759035943085,0.7285743036011765,0.7285743036011765,0.7251370977620758",6.5938927477651745,MT1003,MT,5.5
23023841,34.0,"8.5,6.0,6.0,9.5,9.0","0.799456737136398,0.7938599181157205,0.7886112594253559,0.7692271898180093,0.761684795759078",7.782846109810784,505005,MT,8.5
23023841,38.0,"9.5,6.0,6.0,8.0,6.5","0.8067302367535597,0.8018075512429552,0.7806790208042423,0.7486989826813978,0.74384854086088",7.2089549139625575,502013,MT,9.0
23023841,55.0,"6.0,6.5,8.5,9.5,7.0","0.81449336915899,0.7399026487004027,0.7340930501283904,0.7302496450611027,0.7209767342883152",7.465896140728232,503004,MT,8.0
23023841,106.0,"6.5,6.0,6.5,4.5,8.5","0.881902889855922,0.8476078492629286,0.769148372861919,0.7146335809169375,0.7139913301829282",6.39176020282688,505007,MT,7.0
23183074,2.0,"8.5,0.0,9.0,7.5,7.5","0.7859489454070531,0.7571597756553327,0.7405025430720532,0.679964296815494,0.6779501451748361",6.46142554999987,CO2007,MT,8.0
23247241,54.0,"9.5,8.5,6.0,8.0,0.0","0.8776105131502772,0.8468583928488101,0.7540283039491562,0.7171239097644551,0.17153432648031847",7.661290881334124,501303,MT,9.75
23275431,11.0,"7.5,7.0,6.0,5.0,5.5","0.7143457162303073,0.7136723362667377,0.6946642382342544,0.6899047792992471,0.6798005291387053",6.2162949687839015,PE1007,MT,5.0
23275431,19.0,"7.0,5.0,6.0,6.0,7.5","0.7949946147708993,0.7751660347613237,0.7611984455410121,0.7509535685111064,0.7444472541640987",6.2969873955208575,CO2017,MT,5.5
23424519,59.0,"10.0,8.0,7.0,8.0,6.5","0.8437247611281365,0.82887062404632,0.7586621341112049,0.755406754092496,0.7500501245925913",7.950139182348357,503008,MT,8.5
23445408,26.0,0.0,0.800335898380117,0.0,1004,MT,0.0
23565292,82.0,"8.0,9.0,8.0,7.0,10.0","0.7989536768626145,0.780655644318905,0.770223475707611,0.7556196674929823,0.749518699008568",8.395352730343784,504302,MT,8.5
23633292,20.0,"6.0,6.0,4.5,8.0,8.0,8.0","0.7676629016156078,0.7676629016156078,0.7631152005607722,0.7625373512822752,0.7445166160969994,0.7445166160969994",6.738123035886103,PH1005,MT,6.5
23739237,90.0,"7.5,5.5,6.5,6.5,4.5","0.7521994450609971,0.7102430353124657,0.6941474034299687,0.6860098308885269,0.6720386411395795",6.129514976876602,503002,MT,6.0
23757246,0.0,"8.0,6.5,6.5,5.5,7.0","0.7983465096046731,0.7973979980005522,0.7973135720616393,0.7891530190738951,0.7737891041037069",6.701026606827057,PE1005,MT,6.0
23775061,7.0,"8.0,8.0,7.5,7.0,7.0","0.8290331963730082,0.8290331963730082,0.8009374439453248,0.8006053966133693,0.7756822558106629",7.510132940896906,PH1007,MT,7.5
23775061,24.0,"8.0,8.0,7.5,7.0,6.0","0.8697646385512399,0.8697646385512399,0.8470115738508361,0.8287667523107037,0.7938243881412995",7.325295257711662,PH1003,MT,6.5
23913546,55.0,"6.5,5.0,5.0,8.0","0.7340930501283904,0.6831831256827722,0.6831831256827722,0.6618481599371796",6.117429575853571,503004,MT,6.0
23923070,4.0,"8.0,7.0,5.0,0.0,7.0","0.789145046403185,0.708116242113684,0.6968963284635438,0.6779501451748361,0.6522397454051799",5.481903780694072,CO1009,MT,6.5
23923070,103.0,"8.0,8.0,0.0,5.0,7.0","0.652257094235166,0.6503245941119957,0.6499679210329663,0.6456627821869222,0.6420378714790953",5.599330621150601,EN1003,MT,7.5
24081853,2.0,"8.5,8.5,8.5,6.5,6.0","0.7859489454070531,0.7781345044506418,0.7676629016156078,0.7604327273231274,0.7571597756553327",7.613155525438722,CO2007,MT,7.5
24081853,14.0,"6.5,7.0,5.0,8.0,5.0","0.8470718745427088,0.8287667523107037,0.8152799718993222,0.8006053966133693,0.767967226407416",6.312897266099744,CO1007,MT,6.0
24081853,66.0,"8.5,8.5,7.0,5.0,6.5","0.8139847571349902,0.7650705066499988,0.7534210837031283,0.6864116388486673,0.6769678857383828",7.17784126271729,CO2019,MT,9.0
24139900,15.0,"8.0,7.0,1.5,6.5,5.0","0.825599501258673,0.7613044861152621,0.7318286858060102,0.7302404486318937,0.7250564935044911",5.671263346305514,CO2005,MT,7.5
24139900,21.0,"7.5,8.0,7.0,5.0,1.5","0.8139473418754974,0.7784714340639428,0.7712490406242498,0.7483390981908294,0.7325330248875426",5.871083459555492,CO2013,MT,5.5
24224760,26.0,"5.5,6.5,6.5,5.5,3.5","0.8350346859825065,0.800335898380117,0.7656288659656503,0.7488428100612825,0.7485508311343131",5.517664483919506,1004,MT,5.5
24224760,76.0,"6.5,3.5,3.5,3.5,5.5","0.7205875155430488,0.7086288221293848,0.7022494918844562,0.7022494918844562,0.6901229896169457",4.505156370185239,504003,MT,7.0
24258174,65.0,"8.0,8.0,6.0,5.5,5.5","0.8139847571349902,0.7822512502211261,0.7820304024258732,0.7781345044506418,0.7121684375054438",6.6326164329029424,CO2009,MT,5.0
24328768,27.0,"8.0,8.0,7.5,8.0,9.5","0.7434764979011416,0.7388724572355622,0.7338010219847008,0.7274255183012662,0.7016376410813447",8.188070196434976,502002,MT,7.5
24392527,1.0,"7.0,8.5,6.0,6.5,8.0","0.7571597756553327,0.755511107800725,0.7355845187625424,0.7307369739739081,0.6988008835897682",7.19879163615212,CO2003,MT,7.0
24392527,29.0,"6.0,6.5,6.5,7.0,6.5","0.7482283642315182,0.6838611751242892,0.6686571639201446,0.6683964429721415,0.6613820336517217",6.488364475251905,CO3003,MT,6.0
24392527,44.0,"6.0,7.0,6.5,8.0,8.0","0.7810724925279885,0.7245890495818732,0.7102014869143642,0.7071710344662547,0.7024199173992324",7.075416131971759,SP1003,MT,6.0
24666031,3.0,"0.0,0.0,0.0,0.0,0.0","0.799711299603107,0.799711299603107,0.7938243881412995,0.7582855118007213,0.669181637536834",0.0,PE1003,MT,0.0
24666031,9.0,"0.0,0.0,0.0,0.0,0.0","0.8505209399716357,0.8505209399716357,0.8470115738508361,0.8152799718993222,0.7333759035943085",0.0,CH1003,MT,0.0
24685259,75.0,"8.5,9.17,8.5,6.0,7.5","0.7244346717162605,0.7171239097644551,0.6802813828354722,0.5785823024719465,0.5651066555099193",8.031135865405188,502003,MT,8.5
24685259,131.0,"6.0,8.5,8.5,9.17,7.5","0.3914642830527189,0.23078405473464608,0.20082685796132785,0.17153432648031847,0.13443230869495038",7.615918480391398,505021,MT,0.0
24753447,23.0,"7.5,0.0,9.5,9.5,6.5","0.8147800709339741,0.8062822254677907,0.7609787720399419,0.7609787720399419,0.7264323849888568",6.53613385809822,503006,MT,7.5
24831373,24.0,"9.0,7.0,8.0,9.0,9.0","0.8697646385512399,0.8470115738508361,0.8287667523107037,0.8015527718453053,0.7938243881412995",8.390765862648578,PH1003,MT,6.0
24846146,44.0,"7.0,9.5,8.0,8.0,6.5","0.7528535798297048,0.7245890495818732,0.7102014869143642,0.7071710344662547,0.7024199173992324",7.799957504051149,SP1003,MT,9.5
24846146,63.0,"8.0,8.0,7.0,9.5,8.0","0.7949946147708993,0.7941136126366702,0.7933830361575215,0.78930819772721,0.7821438022826458",8.098782211680032,IM3001,MT,8.0
24966156,7.0,"0.0,7.0,0.0,0.0,0.0","0.7756822558106629,0.7737891041037069,0.7422546518861034,0.7422546518861034,0.739566776124141",1.4353930393406273,PH1007,MT,0.0
25218444,20.0,"2.0,5.5,6.0,8.5,5.5","0.7676629016156078,0.7625373512822752,0.7445166160969994,0.7321561419992537,0.7220848359503602",5.468330716930701,PH1005,MT,5.0
25218444,25.0,"5.0,5.5,5.0,5.5,8.5","0.6691285032693622,0.657904088905624,0.65715380337877,0.6525939642900696,0.6390745933733778",5.8828260544821855,CO3001,MT,5.0
25323546,58.0,"0.0,0.0,0.0,5.0,7.5","0.6458455112664766,0.6428413059401908,0.35581567834844857,0.18700694882741845,0.17654787382916307",1.1250394983086072,503001,MT,0.0
25323546,91.0,"0.0,0.0,8.5,7.5,7.5","0.5915937046226317,0.5621022612856487,0.5358829953131052,0.43583875524637494,0.4215589245706012",4.313148335082534,6023,MT,0.0
25455437,38.0,"8.5,10.0,9.5,8.0,8.5","0.8067302367535597,0.8018075512429552,0.7823251660548002,0.7486989826813978,0.74384854086088",8.914760945532755,502013,MT,8.5
25537550,23.0,"7.5,6.5,9.0,8.0,7.0","0.8147800709339741,0.8062822254677907,0.7609787720399419,0.7586621341112049,0.7457214123517129",7.587910181548768,503006,MT,6.5
25537550,31.0,"8.0,5.0,7.0,9.0,6.0","0.8391121679377538,0.799456737136398,0.7860933666472207,0.7619487863652615,0.7584923591610558",7.001420471567342,503003,MT,6.5
25537550,56.0,"6.0,6.0,7.0,6.5,8.0","0.7410936725618991,0.7193219809649932,0.7163274788185116,0.7114620697791056,0.7085543354840345",6.692058270409469,501047,MT,0.0
25577683,6.0,"6.5,8.5,8.0,8.5,7.0","0.7712490406242498,0.7332092241681247,0.6982949116229777,0.6872217939622958,0.68296015845712",7.683840268687811,MT2001,MT,6.0
25577683,61.0,"7.0,8.5,6.5,8.0,7.5","0.7882663118169727,0.7876307819073569,0.7875658004212863,0.7833712510128787,0.7631152005607722",7.4993906445569225,SP1007,MT,5.5
25680496,16.0,"7.0,8.5,8.0,8.0,8.0","0.7333759035943085,0.7285743036011765,0.7251370977620758,0.701491492524124,0.6909782331773089",7.896889825016764,MT1003,MT,7.5
25680496,44.0,"8.0,8.5,9.0,9.0,8.0","0.7292923134243101,0.7245890495818732,0.7102014869143642,0.7071710344662547,0.7024199173992324",8.49799370196634,SP1003,MT,6.5
25702601,23.0,"6.0,9.0,9.0,6.5,5.5","0.8062822254677907,0.7609787720399419,0.7609787720399419,0.7264323849888568,0.7044310115730755",7.21754395043227,503006,MT,6.5
25702601,26.0,"6.0,5.0,5.5,9.0,9.0","0.7870897703557839,0.7746719110216017,0.716253657368934,0.7048666583074764,0.7048666583074764",6.83964540415118,1004,MT,5.5
25702601,75.0,"6.5,9.0,9.0,6.0,5.0","0.7577483565777281,0.7544607241106344,0.7544607241106344,0.6802813828354722,0.6605307414773316",7.1767509484158465,502003,MT,7.5
25702601,131.0,"6.0,5.0,6.5,0.0,5.5","0.5514391462797992,0.3950869742628569,0.39411283019744586,0.3869904281890935,0.3860820768764214",4.71646900560376,505021,MT,9.5
25760996,5.0,"7.0,6.0,6.5,7.5,5.0","0.8697646385512399,0.8505209399716357,0.8470718745427088,0.8290331963730082,0.799711299603107",6.413988766687551,CO1005,MT,8.5
25792350,41.0,"8.0,9.5,7.0,7.0,6.5","0.6903058748566554,0.6530024150782385,0.5693804315627491,0.5572923670846738,0.5351385935826976",7.683913731608926,LA1007,MT,6.0
25838340,64.0,"6.5,8.93,6.0,9.5,0.0","0.7492701703331759,0.7238511042917264,0.6626421615999275,0.6046418809683143,0.571226782530278",6.357649845539211,505026,MT,7.0
25838340,131.0,"8.0,6.0,6.5,9.5,0.0","0.5514391462797992,0.3860820768764214,0.23078405473464608,0.22946294918039015,0.22817209978742933",6.401218933165934,505021,MT,9.0
25914044,22.0,"9.5,7.5,5.0,6.5,8.5","0.7742200534289769,0.7588447849240082,0.7518201426885993,0.7468789352761178,0.7359289300253474",7.409212276832406,505003,MT,6.5
